url,article_title,article_id,author,view_number,score,summary
https://www.webtoons.com/zh-hant/bl-gl/bianshen/list?title_no=1519,變身愛情,list?title_no=1519,NAN ,566.9萬,9.45,「如果那是學長喜歡的型，我變就是了！」​鼓起勇氣對仰慕許久的道淵學長告白，但小紅當場被拒絕。這時一名神祕女子接近了絕望挫折的小紅。抱著被騙的心態吃掉神祕女子給的藥之後，小紅變成了道淵學長的理想型「玄」，對道淵學長展開更強烈的求愛攻勢?!對學長一片癡心的玄，會就這麼迎來愛情的Happy Ending嗎?!
https://www.webtoons.com/zh-hant/eastern-palace/jinhunling/list?title_no=1837,禁婚令,list?title_no=1837,Chun Ji hye / 傘冊 ,"1,810.5萬",9.70,膽大包天的算命仙竟敢違抗王朝頒布的禁婚令，四處撮合百姓成婚?! 一場以王作為對象的大騙局該怎麼挽回？
https://www.webtoons.com/zh-hant/romance/sweetenemy/list?title_no=1803,愛上冤家,list?title_no=1803,正允 / 泰建 ,"2,634.1萬",9.68,父母都是罪犯的娟熙為了自立自強，高中一畢業就進入職場，好不容易有能力進入大學讀書，卻遇見一個知道她過去的人…以後的日子究竟會過得如何呢？孤軍奮戰的校園戀愛故事即將展開！
https://www.webtoons.com/zh-hant/romance/buhuiaishangwo/list?title_no=758,"歐巴, 你不會愛上我吧",list?title_no=758,韓景察 ,"4,246.8萬",9.86,平凡的女高中生，加入了五彩繽紛又奇怪的繪畫聚會! 出發去尋找專屬於自己色彩的冒險故事!
https://www.webtoons.com/zh-hant/romance/mylovelyboss/list?title_no=1290,我的偶像總裁,list?title_no=1290,性恩 ,"3,215萬",9.57,描述迷妹南多蘭因迷戀李燦歐爸而將自己的生涯與李燦重疊在一起，應徵進入李燦擁有的公司進而發生的有趣事蹟。
https://www.webtoons.com/zh-hant/romance/untouchable/list?title_no=164,觸不可及,list?title_no=164,massstar ,"6,169.5萬",9.61,模特兒李詩雅是一個必須靠著和人類的身體接觸吸收能量才能夠活下去的現代吸血鬼，擁有美麗外貌的詩雅非常輕易就能夠和男人有身體上的接觸，直到她遇到擁有比任何男人的能量都新鮮的申志浩，李詩雅從第一次和他有了身體接觸後就非常渴望能夠擁有他身上的能量，但這個心願卻因為申志浩的潔癖而失敗，李詩雅為了消滅他的潔癖以及得到他身上的能量一步步地越來越靠近他的生活，但兩人之間卻產生了微妙的感情。 女主角必須和人有身體上的接觸才能活下去，而男主角卻討厭跟任何人有身體上的接觸，這個設定讓讀者在看這部愛情漫畫時更津津有味，李詩雅為了和申智厚有身體上的接觸，採取了各式各樣的作戰方式，雖然看起來像場可愛的鬧劇，不過這個想碰又逃跑的過程就像是男女在曖昧期的不安，作者成功描繪出了在超越友情線前男女間起伏不平的心情。
https://www.webtoons.com/zh-hant/romance/huangtaizifei/list?title_no=1811,皇太子妃101,list?title_no=1811,Menanick / Studio D ,523萬,8.58,「皇太子妃101開幕了！各位，為你的皇太子妃投票吧！」在重生的世界裡開始進行一場大規模皇太子妃選拔賽，但我只是個平凡的配角，這一切都與我無關……個頭啦！我到底為什麼會變成第101位皇太子妃候選人啊？！
https://www.webtoons.com/zh-hant/western-palace/wendyflowershop/list?title_no=1528,非請勿入溫蒂花店,list?title_no=1528,Bize / sizh ,"2,175.6萬",9.59,放下貴族私生女身份，用新名字經營花店的鐵壁女，以及不知道從何時開始在她身邊打轉的鐵壁男-皇室騎士團團長，兩人將展開奇幻的愛情故事。
https://www.webtoons.com/zh-hant/city-office/age-matters/list?title_no=1429,霸氣老闆年下男,list?title_no=1429,Enjelicious ,"1,116.3萬",9.46,充滿戀愛幻想的29歲輕熟女遇上了一位年僅23歲的億萬單身富翁。對戀愛中的人來說，年齡差距真的有那麼重要嗎？
https://www.webtoons.com/zh-hant/romance/my2dbf/list?title_no=1534,我的2D男友,list?title_no=1534,LINE WEBTOON ,421.1萬,9.65,漫畫男主角人氣戀愛男主角們的「心動大合集」！都是你沒看過的小故事喔！
https://www.webtoons.com/zh-hant/local/constellationlovestory/list?title_no=1202,撲倒12星座戀愛祕技,list?title_no=1202,LINE WEBTOON ,258萬,9.55,女性流行內容平台PopDaily與LINE WEBTOON的強力企劃！集結12位畫家詮釋12星座男女的戀愛特性，快來掌握愛情祕技撲倒心儀的他集滿12話愛心，就可抽華納威秀雙人電影票喔！
https://www.webtoons.com/zh-hant/romance/sibaotaiqiuaiji/list?title_no=1136,四胞胎求愛記,list?title_no=1136,炤彛 ,679.2萬,9.14,不知為何人氣爆發的女主角女主，以及同時追求她的四胞胎兄弟。
https://www.webtoons.com/zh-hant/local/diandao/list?title_no=1503,顛倒的戀愛路線,list?title_no=1503,阿嘎 ,913.6萬,9.73,初次見面就不小心求婚？搞笑而荒唐的戀愛過程現在開始！
https://www.webtoons.com/zh-hant/romance/friendsfavoriteperson/list?title_no=1770,朋友喜歡的人,list?title_no=1770,紅音音 / Yamaguchi Shizuka ,348.3萬,7.15,我第一個喜歡上的人，是我很重要的朋友也喜歡的人。
https://www.webtoons.com/zh-hant/romance/women-fenshoule/list?title_no=341,我們，分手了,list?title_no=341,柳彩瞵 ,"1,178.2萬",9.31,一切從分手開始？分手男女的奇妙同居生活~
https://www.webtoons.com/zh-hant/heartwarming/the-stories-of-those-around-me/list?title_no=163,我朋友的故事,list?title_no=163,OMYO ,835.8萬,9.56,正沉浸在熱戀中的夏天、有能力的單身白領美拉、以及跟戀愛五年的男友同居中的正娥，她們三人是25歲的同齡好友。原本平淡無奇，好似永遠不會改變的三人的戀愛狀態，自從美拉的一次相親之後便開始慢慢地發生變化。而正是在這樣的過程中，她們也開始領悟到了愛情的寓意。
https://www.webtoons.com/zh-hant/romance/qiyuenanyou/list?title_no=1529,契約男友是惡魔,list?title_no=1529,jangjin / woombeee ,"2,027.3萬",9.78,無欲無求的人類女孩漢娜，卻突然被找上門的惡魔要求簽下靈魂契約?!
https://www.webtoons.com/zh-hant/romance/nianxiade/list?title_no=2056,年下的戀愛滋味,list?title_no=2056,Na young / seungu ,758萬,9.27,毫無理由就被學長甩掉的仁珠，為了挽回學長找上一起參加志工活動的學弟準備來場戀愛大作戰…不過作戰內容到底是挽回學長還是攻略學弟呢？
https://www.webtoons.com/zh-hant/romance/guixinniang/list?title_no=728,鬼新娘,list?title_no=728,世靜 ,"3,923.3萬",9.73,「吃妳？娶妳？好難決定啊！」突然出現的鬼對少女恩雅說了這句莫名其妙的話。故事將如何發展呢？偶像劇？恐怖片？讓我們一起看下去
https://www.webtoons.com/zh-hant/romance/khouse/list?title_no=1502,花樣 K-HOUSE,list?title_no=1502,泰俊 ,994.4萬,9.50,「看臉時代」作者泰俊的新作品！屋裡的男人，他們不能說的秘密…與花美男們的臉紅心跳同居生活!
https://www.webtoons.com/zh-hant/romance/yinxingdetongju/list?title_no=713,隱形的同居者,list?title_no=713,正瑞 ,"1,261.4萬",9.81,看得見卻摸不著的同居人...人類與幽靈，溫暖中帶著微微涼意的同居生活，正式開始!
