article_id,article_title,author,hot,like,summary
4205,触碰的旋律,小野酵母,51.98亿,"5,809,089",你确定你的梦想是在什么时候呢？是否在某一时间，你见到某人时，会觉得“如果将来我能像他一样就好了”。故事的主角便遇到了这样一位学长，并因为学长开始弹琴，然而毕业后命运将两人拆散，再相遇的契机竟是位置互换？酸酸甜甜的青春成长，将围绕这两个男孩子展开……【独家/每周二更新，责编：橘子】
4832,再度与你,晗旭L-Mo,279.85亿,"38,476,441",高中时因误会相互错过的两人，在大学毕业后重回高中母校任教。七年之隔，男主却没认出眼前的她就是当年那个女孩！？一个不解风情冷面女体育老师，一个温柔腹黑笑面男数学老师，再次相遇，物是人非，无疾而终的情感是否能重新开始？而高中时的那个秘密也在渐渐剥开……【独家/每周六更新 责编33】
5042,今天的她也是如此可爱,郭斯特,55.5亿,"8,325,873",沉迷学习、无心社交的女学霸，似乎对吊车尾女学渣很感兴趣？！今天的她也是如此可爱。表面高冷内心吐槽的学霸x又傻又甜又暴力的学渣郭斯特新作，少女心乱撞的校园故事。【独家／每周三更新 责编：小k】
8168,这题超纲了,木瓜黄（原著）+ 鸡精君&守（主笔） +五彩石漫画社（编剧）,50.38亿,"5,944,914",谁能想到一开始针锋相对的学渣许盛和学神邵湛，互换了几次身体之后，居然开始双向暗恋！两人在懵懂中不断向对方靠近，经历不少啼笑皆非的故事or事故之后，终于明了彼此心意。【独家/每周五更新 责编：木木】
749,恋是樱草色,漫阅优品,278.67亿,"38,370,829",画风唯美清新的校园相遇。成绩优秀但羞涩胆小的林鹿，偶然遇见名为夏翊的男生，并互相听到了彼此的秘密。为守护秘密，两人达成共识，夏翊开始帮助小鹿和学长。青春微忧，一段懵懂的情感物语就此展开。【授权/已完结 责编：Echo】
2319,成也萧河,壳小杀（主笔）＋左小翎（编剧）,484.17亿,"60,142,902",TOP级少女漫第二季强势归来！萧河高调加入PPB战队，与沈心一路甜蜜撒糖，而美好背后一股腥风血雨正在暗中涌动——全民讨伐、资方撤资、萧河被迫逐出电竞圈！？看知心情侣如何逆风扶持，重归电竞神坛……【独家/每周三更新   责编：33】
616,朝花惜时,壳小杀／夏天岛+左小翎／夏天岛,646.94亿,"125,114,689",他，戴上眼镜是沉默冷峻的高中生，摘下眼镜是浪荡不羁的夜店王子。女主同时遇上他们，想不到竟是同一人？画风超绝美，男主帅到令人窒息！引爆你的少女心！【已完结】
2177,渐近的心跳,橘枳,224.66亿,"30,984,495",一次意外的接触，令孤僻内向的刺猬少女苏叶，对于朝夕相处的完美竹马郑树第一次产生了不一样的感觉，两人之间原本熟悉的言语和动作竟令自己心跳加速。【独家/已完结 责编：林早上】
2189,泽上寂寞萤火,千本,185.64亿,"23,917,393",水边的萤火虫，在黑夜中闪闪灭灭，寂寞弱小却依然温暖。四个怀抱着秘密的少年少女遇见彼此，信任、背叛、悸动……青春是五彩斑斓的万花筒，遇见你是我青春里最美好的事。【独家/暂停更新 责编：00】
5893,未曾知晓的那一日,胡桃,27.61亿,"4,408,479",那一天家里发生了很可怕的事...哥哥带着捡到的妹妹出逃，被冠以“杀人犯之子”的两人相依为命。互相陪伴的时光里，两个少年带着各自的忧虑，在谁都未曾知晓的那一日，对对方产生了不一样的情愫....【独家/每周五更新 责编：林早上】
7060,硬核一中,BunnyJobs（主笔）+卷角（编剧）,17.42亿,"2,778,217",硬核一中的历史难题——学习都太好了！这所全员学霸的热血高校发起NUTCLEAR BOOM排名战。被全校孤立的不良转学生戎星野，面对榜上有名的巨星、首富、女装大佬等各异对手扬言将夺冠NUT，却不慎触犯禁战令，被迫与对手拷在一起手拉手生活！然而从转学开始的一切竟是圈套…【独家/每周一更新 责编：橘子】
